price,category,beds,livings,wc,area,street_width,location.lat,location.lng,city,district,school_lat,school_lon,hospital_lat,hospital_lon,mall_lat,mall_lon,park_lat,park_lon,grocery_lat,grocery_lon,starbucks_lat,starbucks_lon,kitchen,distance_to_school,distance_to_hospital,distance_to_mall,distance_to_park,distance_to_grocery,distance_to_starbucks,Service_Center_Lat,Service_Center_Lon,Distance_to_Service_Center,district_encoded
1020000,3,5,2,2,200,18.0,24.580496,46.537593,الرياض,حي طويق,24.586704,46.532635,24.562336,46.540213,24.630417,46.708421,24.587748,46.559833,24.567311,46.542159,24.673405,46.623254,1,853.1382215086769,2036.607438469615,18140.53359162824,2389.011300438712,1537.0942553583188,13479.699471341728,24.5869032,46.5766522,4013.239438058533,0.113151195113394
2450000,3,5,2,5,320,15.0,24.839374,46.747911,الرياض,حي المونسية,24.810615,46.759733,24.805567,46.763133,24.781753,46.73123,24.797978,46.748148,24.830391,46.747188,24.734208,46.697437,1,3413.166243797764,4060.954351587403,6624.6797741654,4603.087330104671,1001.5250350007744,12755.821967955048,24.8052608,46.7498864,3798.450117661159,0.0488750551002599
940000,3,4,2,4,400,25.0,24.58354,46.591549,الرياض,حي العريجاء الغربية,24.579018,46.551464,24.560014,46.585046,24.630417,46.708421,24.592377,46.615294,24.580278,46.616503,24.673405,46.623254,1,4084.3667220487087,2697.3633969723487,12914.074212072226,2594.2093510333857,2549.2117650300797,10493.852726831896,24.5884208,46.6153456,2466.610953167867,0.0125493653349646
1299000,6,3,2,4,217,36.0,24.813154,46.750351,الرياض,حي قرطبة,24.808446,46.754668,24.805567,46.763133,24.781753,46.73123,24.797978,46.748148,24.800246,46.752409,24.734208,46.697437,1,681.1102032215088,1541.4711751259404,3989.592612045268,1702.0814564508444,1450.2575901028983,10276.196753286476,24.798798,46.7499176,1596.9136537836544,0.0129361916499491
920000,3,5,1,5,200,20.0,24.585415,46.524987,الرياض,حي طويق,24.586704,46.532635,24.562336,46.540213,24.630417,46.708421,24.566204,46.501541,24.567311,46.542159,24.673405,46.623254,1,786.4881816937229,2992.729106528241,19207.721956427977,3191.3004493128133,2658.5244421515263,13942.234957755863,24.5825944,46.5649938,4057.4420632453216,0.113151195113394
900000,3,4,2,4,200,18.0,24.579675,46.523247,الرياض,حي طويق,24.586704,46.532635,24.562336,46.540213,24.630417,46.708421,24.566204,46.501541,24.567311,46.542159,24.673405,46.623254,1,1229.6376529522329,2580.862015463211,19552.566557228256,2657.398546361354,2355.333244835232,14519.37589861894,24.5825944,46.5649938,4233.802851470392,0.113151195113394
2300000,3,4,4,4,200,20.0,24.820454,46.592758,الرياض,حي القيروان,24.796294,46.637573,24.777981,46.590406,24.781753,46.73123,24.738795,46.573269,24.801715,46.603326,24.85843,46.593574,1,5260.955007805913,4728.745696218284,14624.74001481161,9290.793864983474,2340.8231365358783,4223.54125973299,24.7793076,46.6271608,5743.889473203094,0.0098145932476318
490000,6,3,1,4,141,20.0,24.58593,46.648185,الرياض,حي الزهرة,24.581101,46.662842,24.585927,46.679846,24.630417,46.708421,24.576579,46.645154,24.579034,46.664088,24.673405,46.623254,1,1576.3277995325957,3201.3642705647826,7845.601180447142,1084.013276975729,1781.524714327439,10047.91064941327,24.5906116,46.67207019999999,2470.54582384949,0.0041651298566943
1085000,3,4,2,3,235,20.0,24.587667,46.693723,الرياض,حي الدريهمية,24.57815,46.680601,24.585927,46.679846,24.630417,46.708421,24.573022,46.682967,24.585049,46.696174,24.693078,46.694869,1,1697.1742208769567,1416.4231360459464,4980.4056167678655,1958.260554606393,382.3131069253012,11721.74068170502,24.590513000000005,46.689601800000005,523.2456931849039,0.0018981477316684
1200000,6,5,1,3,140,40.0,24.802749,46.615678,الرياض,حي الملقا,24.796294,46.637573,24.777981,46.590406,24.781753,46.73123,24.762764,46.670383,24.80167,46.603353,24.85843,46.593574,1,2323.7266026623515,3754.111396909253,11895.92033286802,7090.015627972264,1249.838501581923,6581.011211221193,24.7840924,46.646589,3747.010388723559,0.0159408425616898
1450000,3,3,2,3,300,20.0,24.55752,46.51977,الرياض,حي طويق,24.586704,46.532635,24.562336,46.540213,24.630417,46.708421,24.564435,46.501362,24.55148,46.513728,24.673405,46.623254,1,3496.181686722939,2135.726165485376,20724.88361457172,2014.213457496902,908.0154933310145,16597.61836717194,24.579074400000003,46.5592718,4658.573402322195,0.113151195113394
2800000,3,5,1,5,300,18.0,24.880359,46.618743,الرياض,حي العارض,24.825658,46.648365,24.862902,46.587374,24.781753,46.73123,24.762764,46.670383,24.863408,46.589112,24.85843,46.593574,1,6777.111963024428,3712.47148467672,15782.243251176911,14076.29851564854,3533.861723719738,3520.369654645785,24.819297,46.64529280000001,7299.143405096068,0.072246561293979
2970000,3,4,5,3,300,20.0,24.852822,46.674491,الرياض,حي النرجس,24.825658,46.648365,24.828733,46.692132,24.781753,46.73123,24.797978,46.748148,24.839917,46.672492,24.85843,46.593574,1,4009.195530912903,3216.134484546153,9759.196860087117,9614.88844050796,1449.0772705901502,8187.8943527878655,24.8148078,46.698473400000005,4870.773613370585,0.0719496945871303
1000000,3,4,2,5,220,15.0,24.554062,46.53775,الرياض,حي طويق,24.579018,46.551464,24.562336,46.540213,24.630417,46.708421,24.564435,46.501362,24.567311,46.542159,24.673405,46.623254,1,3102.2539150479224,953.1523386679182,19231.89116375956,3856.633080921205,1539.2235619842231,15837.157945933584,24.5807034,46.5687238,4311.300851695852,0.113151195113394
1150000,3,5,5,5,300,20.0,24.548818,46.521916,الرياض,حي طويق,24.586704,46.532635,24.562336,46.540213,24.630417,46.708421,24.564435,46.501362,24.55148,46.513728,24.673405,46.623254,1,4349.959752967837,2384.0849022403995,20926.97425101709,2708.664533252122,879.4653484511629,17229.910461438725,24.579074400000003,46.5592718,5058.7602757494205,0.113151195113394
1600000,3,4,2,3,250,20.0,24.828758,46.772714,الرياض,حي المونسية,24.810615,46.759733,24.810349,46.790832,24.781753,46.73123,24.797978,46.748148,24.824738,46.770679,24.734208,46.697437,1,2405.4721308207145,2744.766174477472,6697.122618556041,4226.302113201243,491.9234499898534,12972.562228639385,24.8050866,46.7601244,2922.7801553712943,0.0488750551002599
1250000,3,4,3,5,250,20.0,24.578089,46.570043,الرياض,حي طويق,24.579018,46.551464,24.560014,46.585046,24.630417,46.708421,24.587748,46.559833,24.566812,46.550478,24.673405,46.623254,1,1881.5418718287567,2518.2198119261643,15151.661831791806,1489.7608611094354,2342.404450577316,11885.344601349962,24.5848018,46.5910484,2251.3515225139618,0.113151195113394
1550000,3,4,2,3,264,20.0,24.831975,46.775723,الرياض,حي المونسية,24.810615,46.759733,24.810349,46.790832,24.781753,46.73123,24.797978,46.748148,24.824738,46.770679,24.734208,46.697437,1,2871.484781696276,2847.4100629619893,7166.165663692487,4694.2750166622745,952.1964864696212,13440.415341736933,24.8050866,46.7601244,3378.996545284492,0.0488750551002599
1450000,3,5,2,5,900,20.0,24.569905,46.802107,الرياض,حي الدار البيضاء,24.575225,46.780452,24.563162,46.841807,24.630417,46.708421,24.617548,46.754887,24.579432,46.788524,24.693078,46.694869,1,2268.34660354227,4084.252490838589,11618.552164326691,7131.557069147752,1734.6114822652974,17466.437888908124,24.5931568,46.7748182,3781.381797129904,0.012207518824048
1300000,3,3,3,3,200,15.0,24.828205,46.771909,الرياض,حي المونسية,24.810615,46.759733,24.805567,46.763133,24.781753,46.73123,24.797978,46.748148,24.824738,46.770679,24.734208,46.697437,1,2309.9145682839635,2668.514562020508,6598.383621825146,4128.949628921444,405.0041746106576,12875.1628422944,24.8041302,46.7545846,3197.43051406398,0.0488750551002599
3800000,3,4,1,3,625,15.0,24.772232,46.721117,الرياض,حي المغرزات,24.765292,46.723296,24.77919,46.739506,24.781753,46.73123,24.766622,46.705068,24.764943,46.725334,24.734208,46.697437,1,802.4410280716659,2011.3165927550117,1470.800804543477,1736.3157020114086,915.5285023486772,4857.396482618264,24.77156,46.72488679999999,387.8763605884543,0.0011874668273944
3500000,3,4,2,4,750,29.0,24.740951,46.670211,الرياض,حي الملك فهد,24.719404,46.679142,24.74683,46.652126,24.781753,46.73123,24.746893,46.64959,24.742019,46.658406,24.743234,46.655646,1,2560.084073572785,1939.7997349769432,7651.43270350419,2184.734031143409,1198.061642789176,1492.626390949245,24.7473798,46.6740988,815.5701346039065,0.0020420831046859
3200000,3,4,4,5,390,20.0,24.858593,46.678047,الرياض,حي النرجس,24.825658,46.648365,24.828733,46.692132,24.781753,46.73123,24.797978,46.748148,24.839917,46.672492,24.85843,46.593574,1,4730.994350562449,3611.6744724654,10090.24177058893,9771.170663430885,2150.987097586743,8522.716941706953,24.8148078,46.698473400000005,5287.045791944833,0.0719496945871303
2000000,3,4,2,5,240,15.0,24.835745,46.761791,الرياض,حي المونسية,24.810615,46.759733,24.805567,46.763133,24.781753,46.73123,24.797978,46.748148,24.824738,46.770679,24.734208,46.697437,1,2802.0366711757792,3358.3726606349883,6749.704706289276,4419.474536734679,1517.3938931177695,13026.133396415316,24.8041302,46.7545846,3589.8521470294204,0.0488750551002599
2500000,3,4,2,4,250,12.0,24.838207,46.683924,الرياض,حي النرجس,24.825658,46.648365,24.828733,46.692132,24.781753,46.73123,24.797978,46.748148,24.839917,46.672492,24.85843,46.593574,1,3850.166492291512,1340.0933299388223,7886.915772398245,7875.551589409898,1169.1506309389029,9389.636599476766,24.8148078,46.698473400000005,2987.584640022411,0.0719496945871303
1200000,3,5,3,3,300,20.0,24.521692,46.642929,الرياض,حي الحزم,24.498415,46.632727,24.528803,46.652714,24.630417,46.708421,24.537754,46.665364,24.536432,46.65647,24.673405,46.623254,1,2786.50785453239,1266.9156207494243,13784.766413075718,2887.9917923549706,2136.053602368584,16986.59309755029,24.546364200000003,46.6631392,3421.3808635941728,0.0227327929759537
2100000,3,5,3,5,267,20.0,24.825954,46.75005,الرياض,حي المونسية,24.810615,46.759733,24.805567,46.763133,24.781753,46.73123,24.797978,46.748148,24.830391,46.747188,24.734208,46.697437,1,1965.750168652666,2623.4557995980463,5269.262316156433,3116.7069610514386,571.69562692906,11501.643073702588,24.8052608,46.7498864,2301.0380991398883,0.0488750551002599
1250000,6,3,1,3,211,34.0,24.801093,46.748372,الرياض,حي غرناطة,24.795485,46.745821,24.805567,46.763133,24.781753,46.73123,24.797978,46.748148,24.800246,46.752409,24.734208,46.697437,1,674.6560578030944,1570.7993793152496,2760.2728872041494,347.1094096881713,418.23593109073255,9042.163085991471,24.7962058,46.7481482,543.9011943851148,0.0050467340164266
2500000,3,1,1,3,217,16.0,24.903614,46.643051,الرياض,حي النرجس,24.825658,46.648365,24.862902,46.587374,24.781753,46.73123,24.797978,46.748148,24.85888,46.646846,24.85843,46.593574,1,8684.874704451355,7213.593671043665,16210.524437936272,15824.703060691343,4988.903004297358,7081.843500731556,24.8254342,46.6723926,9183.381185046675,0.0719496945871303
1800000,3,7,2,5,252,20.0,24.855152,46.781002,الرياض,حي الرمال,24.8145,46.8101,24.810349,46.790832,24.781753,46.73123,24.797978,46.748148,24.824738,46.770679,24.734208,46.697437,1,5390.281413475227,5079.667006935318,9583.563699718006,7170.101240710076,3538.6729382120693,15874.976038899966,24.8058636,46.7701978,5588.020400416289,0.0687741204199314
2800000,3,5,3,5,280,20.0,24.848202,46.676605,الرياض,حي النرجس,24.825658,46.648365,24.828733,46.692132,24.781753,46.73123,24.797978,46.748148,24.839917,46.672492,24.85843,46.593574,1,3795.358439739389,2672.357563434159,9218.977997361286,9127.977525365835,1010.4171303533112,8454.40762843824,24.8148078,46.698473400000005,4319.5470501501895,0.0719496945871303
2400000,3,5,3,5,337,17.0,24.787628,46.682434,الرياض,حي الوادي,24.802781,46.690582,24.788008,46.697308,24.781753,46.73123,24.762764,46.670383,24.78238,46.684338,24.743234,46.655646,1,1874.9683808206887,1502.1271558784852,4969.216083673905,3020.6195026528603,614.3921869526978,5628.81374779899,24.7835372,46.694768200000006,1325.64725580776,0.0051726774678169
